gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae30.londtw-sbr2.ja.net,146.97.33.6
ae28.londtt-sbr1.ja.net,146.97.33.61
ae0.londtn-ban1.ja.net,146.97.35.210
janet.lon04-96cbe-1b.ntwk.msn.net,207.46.219.16
be-62-0.ibr01.lon30.ntwk.msn.net,104.44.9.244
be-12-0.ibr02.nyc30.ntwk.msn.net,104.44.5.106
104.44.16.150,104.44.16.150
ae122-0.icr02.yto20.ntwk.msn.net,104.44.20.166
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
