gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae29.londhx-sbr1.ja.net,146.97.33.1
janet.mx1.lon.uk.geant.net,62.40.124.197
canarie.lon.uk.geant.net,62.40.124.242
205.189.32.40,205.189.32.40
66.97.16.25,66.97.16.25
66.97.23.126,66.97.23.126
yorku-york-hub-if-re.gtanet.ca,205.211.95.130
core01-border.gw.yorku.ca,130.63.27.17
130.63.2.62,130.63.2.62
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
