gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae29.londhx-sbr1.ja.net,146.97.33.1
ae0.londhx-ban2.ja.net,146.97.35.198
ae5.cr10-lon2.ip4.gtt.net,46.33.78.85
et-0-0-67.cr7-chi1.ip4.gtt.net,89.149.140.197
ip4.gtt.net,69.174.2.46
rc4ec-be6-1.il.shawcable.net,66.163.65.70
66.163.65.17,66.163.65.17
rc3no-hge0-19-0-1.cg.shawcable.net,66.163.71.117
rc1st-be11-1.vc.shawcable.net,66.163.72.70
rd3bb-tge0-11-0-0.vc.shawcable.net,66.163.69.46
sedcsbs01.energold.com,69.196.64.30
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
