gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae31.erdiss-sbr2.ja.net,146.97.33.22
ae30.lowdss-sbr1.ja.net,146.97.33.26
ae26.lowdss-ban1.ja.net,146.97.35.246
146.97.41.38,146.97.41.38
d-dw.s-dw.net.cam.ac.uk,193.60.88.2
d-dw.s-dw.net.cam.ac.uk,193.60.88.2
s-dw.f-sv-net.net.cam.ac.uk,128.232.128.2
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
