gw-eduroam-a.wireless.bath.ac.uk,138.38.191.254
palo-swallow-wl-vrf.bath.ac.uk,138.38.255.118
bath-gw-1-palo.bath.ac.uk,193.63.64.174
xe-1-2-0.bathub-rbr1.ja.net,146.97.144.33
xe-1-2-0.briswe-rbr1.ja.net,146.97.67.65
ae22.londpg-sbr2.ja.net,146.97.37.201
ae31.erdiss-sbr2.ja.net,146.97.33.22
ae29.manckh-sbr2.ja.net,146.97.33.42
ae31.glasss-sbr1.ja.net,146.97.33.54
ae29.edinat-rbr2.ja.net,146.97.38.38
ae25.edinkb-rbr2.ja.net,146.97.74.34
ae24.edinqm-rbr2.ja.net,146.97.74.54
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
*,*
